hour,month,seasonal_mean,regime
22,4,0.06491666666666666,regime_2
22,5,0.0025806451612903226,regime_2
22,6,8.333333333333333e-05,regime_2
22,7,0.009973118279569893,regime_2
22,8,0.0,regime_2
22,9,0.0001666666666666667,regime_2
22,10,0.04685483870967742,regime_2
22,11,0.01475,regime_2
22,12,0.009211956521739131,regime_2
23,1,0.006048387096774193,regime_2
23,2,0.0,regime_2
23,3,0.025645161290322578,regime_2
23,4,0.0005277777777777778,regime_2
23,5,0.00018817204301075272,regime_2
23,6,0.00019444444444444446,regime_2
23,7,8.064516129032258e-05,regime_2
23,8,0.0,regime_2
23,9,0.0,regime_2
23,10,0.02435483870967742,regime_2
23,11,0.00988888888888889,regime_2
23,12,0.0,regime_2
0,1,0.9280645161290323,regime_3
0,2,1.4665000000000001,regime_3
0,3,0.22260752688172045,regime_3
0,4,0.024444444444444446,regime_3
0,5,0.022903225806451613,regime_3
0,6,5.555555555555556e-05,regime_3
0,7,0.0,regime_3
0,8,0.0,regime_3
0,9,0.0,regime_3
0,10,0.006075268817204301,regime_3
0,11,0.18605555555555556,regime_3
0,12,0.012926829268292684,regime_3
1,1,0.03948924731182796,regime_3
1,2,0.5100294117647058,regime_3
1,3,0.08876344086021504,regime_3
1,4,0.005638888888888889,regime_3
1,5,0.02413978494623656,regime_3
1,6,0.00041666666666666664,regime_3
1,7,0.004381720430107526,regime_3
1,8,0.0,regime_3
1,9,0.0,regime_3
1,10,0.010376344086021507,regime_3
1,11,0.13524193548387098,regime_3
1,12,0.0023641304347826087,regime_3
2,1,0.003844086021505376,regime_3
2,2,1.3219411764705884,regime_3
2,3,0.01813888888888889,regime_3
2,4,0.030500000000000003,regime_3
2,5,0.018575268817204303,regime_3
2,6,0.0,regime_3
2,7,0.012741935483870969,regime_3
2,8,0.0,regime_3
2,9,0.0,regime_3
2,10,0.0017204301075268817,regime_3
2,11,0.12669444444444444,regime_3
2,12,0.003994565217391304,regime_3
3,1,0.00532258064516129,regime_3
3,2,0.9186764705882353,regime_3
3,3,0.004543010752688172,regime_3
3,4,0.1,regime_3
3,5,0.0038172043010752687,regime_3
3,6,0.0,regime_3
3,7,0.004489247311827958,regime_3
3,8,0.0,regime_3
3,9,0.0,regime_3
3,10,0.008602150537634409,regime_3
3,11,0.016555555555555556,regime_3
3,12,0.016793478260869566,regime_3
4,1,0.024059139784946233,regime_3
4,2,0.6246764705882354,regime_3
4,3,0.04438172043010752,regime_3
4,4,0.08611111111111111,regime_3
4,5,0.00010752688172043011,regime_3
4,6,0.0,regime_3
4,7,0.0,regime_3
4,8,0.0,regime_3
4,9,0.0,regime_3
4,10,0.011155913978494622,regime_3
4,11,0.035361111111111114,regime_3
4,12,0.013505434782608697,regime_3
5,1,0.004543010752688172,regime_3
